price,gender,movement,case_material_category,brand_country,brand_age,warranty_period,dial_color,strap_material,collection_popularity,water_resistance_meters,case_diameter_mm,brand_prestige_level
148200.0,female,automatic,steel,switzerland,171.0,5.0,blue,stainless_steel,35.0,100.0,29.0,3
78000.0,female,quartz,steel,switzerland,192.0,2.0,silver,crocodile,69.0,30.0,23.3,2
153400.0,female,automatic,steel,switzerland,171.0,2.0,mother_of_pearl,stainless_steel,35.0,100.0,29.0,3
76300.0,male,automatic,steel,switzerland,194.0,2.0,grey,textile,19.0,50.0,42.0,2
256000.0,male,manual,steel,switzerland,192.0,5.0,black,stainless_steel,36.0,100.0,39.5,2
546000.0,unisex,automatic,ceramic,switzerland,44.0,2.0,black,rubber,45.0,50.0,38.0,4
95000.0,male,automatic,steel,switzerland,192.0,5.0,green,stainless_steel,49.0,300.0,41.0,2
320100.0,female,automatic,steel,switzerland,176.0,5.0,purple,stainless_steel,59.0,50.0,30.0,4
1294800.0,male,manual,carbon,switzerland,44.0,2.0,skeleton,textile,43.0,100.0,42.0,4
603200.0,male,automatic,ceramic,switzerland,44.0,2.0,blue,crocodile,45.0,50.0,42.0,4
742000.0,male,automatic,gold,italy,140.0,5.0,green,crocodile,14.0,50.0,39.0,4
109000.0,male,automatic,steel,switzerland,192.0,5.0,blue,stainless_steel,57.0,100.0,38.0,2
25190.0,female,quartz,steel,switzerland,171.0,3.0,blue,stainless_steel,97.0,100.0,34.0,1
361400.0,male,automatic,steel,switzerland,140.0,5.0,black,leather,10.0,100.0,38.0,3
374400.0,male,automatic,titanium,switzerland,44.0,2.0,blue,rubber,45.0,50.0,45.0,4
582400.0,male,automatic,ceramic,switzerland,44.0,2.0,black,rubber,45.0,50.0,45.0,4
42200.0,male,quartz,steel,switzerland,194.0,2.0,grey,crocodile,19.0,50.0,42.0,2
42200.0,male,quartz,steel,switzerland,194.0,2.0,white,crocodile,19.0,50.0,42.0,2
413200.0,male,manual,steel,switzerland,176.0,5.0,white,stainless_steel,25.0,50.0,42.0,4
506300.0,male,automatic,steel,switzerland,176.0,5.0,blue,rubber,59.0,50.0,43.0,4
78000.0,female,quartz,steel,switzerland,192.0,2.0,pink,stainless_steel,69.0,30.0,30.0,2
76300.0,male,automatic,steel,switzerland,194.0,2.0,grey,textile,19.0,50.0,42.0,2
129000.0,female,automatic,steel,switzerland,194.0,2.0,mother_of_pearl,crocodile,19.0,50.0,34.0,2
164000.0,male,automatic,other,switzerland,192.0,5.0,green,leather,49.0,300.0,42.0,2
272800.0,male,manual,steel,italy,164.0,8.0,blue,rubber,37.0,100.0,44.0,4
1086800.0,male,manual,titanium,switzerland,44.0,2.0,skeleton,rubber,43.0,100.0,42.0,4
557000.0,female,quartz,gold,italy,140.0,5.0,green,crocodile,14.0,30.0,26.0,4
291200.0,male,automatic,steel,switzerland,140.0,5.0,white,stainless_steel,10.0,100.0,38.0,3
136000.0,female,automatic,steel,switzerland,192.0,5.0,silver,stainless_steel,69.0,30.0,34.0,2
227000.0,male,automatic,other,italy,140.0,5.0,blue,rubber,11.0,100.0,41.0,4
68100.0,female,quartz,steel,switzerland,194.0,2.0,purple,calfskin,16.0,50.0,35.0,2
109000.0,female,automatic,steel,switzerland,192.0,5.0,brown,stainless_steel,57.0,100.0,34.0,2
133700.0,female,quartz,steel,switzerland,194.0,2.0,grey,stainless_steel,16.0,50.0,35.0,2
96200.0,male,quartz,steel,switzerland,171.0,2.0,blue,stainless_steel,38.0,100.0,38.0,3
302600.0,male,automatic,steel,switzerland,176.0,5.0,green,stainless_steel,59.0,300.0,42.0,4
203000.0,male,automatic,steel,switzerland,192.0,5.0,beige,crocodile,54.0,50.0,38.0,2
763000.0,female,automatic,gold,italy,140.0,5.0,white,steel_gold,11.0,30.0,34.0,4
228800.0,male,automatic,steel,switzerland,140.0,2.0,black,textile,12.0,300.0,42.0,3
156000.0,male,automatic,steel,switzerland,192.0,5.0,blue,stainless_steel,49.0,300.0,43.0,2
91000.0,male,quartz,steel,switzerland,171.0,2.0,blue,stainless_steel,38.0,200.0,41.0,3
301600.0,male,automatic,steel,switzerland,140.0,2.0,black,stainless_steel,19.0,200.0,40.0,3
29980.0,female,quartz,gold,switzerland,171.0,3.0,yellow,steel_gold,97.0,100.0,34.0,1
525200.0,male,automatic,steel,switzerland,178.0,5.0,blue,rubber,5.0,50.0,42.0,5
200000.0,male,automatic,titanium,switzerland,192.0,5.0,blue,leather,36.0,30.0,41.0,2
164500.0,male,automatic,gold,switzerland,194.0,2.0,brown,calfskin,16.0,50.0,40.0,2
109000.0,male,automatic,steel,switzerland,192.0,5.0,black,stainless_steel,57.0,100.0,38.0,2
272800.0,male,manual,steel,italy,164.0,8.0,white,rubber,37.0,100.0,44.0,4
126000.0,female,automatic,steel,switzerland,194.0,2.0,grey,stainless_steel,45.0,50.0,33.0,2
709000.0,female,quartz,gold,italy,140.0,5.0,green,steel_gold,11.0,30.0,35.0,4
242000.0,male,automatic,gold,switzerland,192.0,5.0,anthracite,stainless_steel,36.0,100.0,42.0,2
156000.0,male,automatic,steel,switzerland,171.0,2.0,black,stainless_steel,50.0,200.0,40.0,3
108900.0,female,automatic,steel,switzerland,194.0,2.0,burgundy,stainless_steel,19.0,50.0,34.0,2
337600.0,male,automatic,steel,switzerland,176.0,5.0,red,stainless_steel,59.0,50.0,38.0,4
378100.0,male,automatic,steel,italy,164.0,8.0,white,crocodile,37.0,100.0,40.0,4
130000.0,female,quartz,steel,switzerland,171.0,2.0,mother_of_pearl,stainless_steel,50.0,200.0,34.0,3
142000.0,male,automatic,steel,switzerland,192.0,5.0,blue,stainless_steel,54.0,30.0,42.0,2
76300.0,male,automatic,steel,switzerland,194.0,2.0,black,leather,19.0,50.0,42.0,2
135900.0,male,automatic,steel,switzerland,194.0,2.0,beige,stainless_steel,16.0,50.0,39.0,2
1138800.0,male,automatic,titanium,switzerland,44.0,2.0,skeleton,rubber,43.0,100.0,42.0,4
670800.0,female,automatic,steel,switzerland,44.0,2.0,white,rubber,43.0,100.0,33.0,4
367000.0,male,automatic,steel,italy,140.0,5.0,green,rubber,16.0,100.0,41.0,4
1315600.0,male,automatic,gold,switzerland,44.0,2.0,blue,crocodile,45.0,50.0,45.0,4
